Week,Year,GID,First Name,Last Name,Pos,Team,h/a,Oppt,DK points,DK salary
1,2017,5569, Ryan,Switzer,WR,dal,h,nyg,0,3000
1,2017,5130, Dwayne,Harris,WR,nyg,a,dal,0,3000
1,2017,5505, Tanner,McEvoy,WR,sea,a,gnb,0,3000
1,2017,4677, Austin,Hooper,TE,atl,a,chi,23.8,3000
1,2017,4653, Jesse,James,TE,pit,a,cle,22.1,3000
1,2017,4262, Jason,Witten,TE,dal,h,nyg,18.9,3900
1,2017,4569, Zach,Ertz,TE,phi,a,was,17.3,3500
1,2017,4552, Coby,Fleener,TE,nor,a,min,16.4,2900
1,2017,4543, Charles,Clay,TE,buf,h,nyj,15.3,3200
1,2017,4360, Delanie,Walker,TE,ten,h,oak,14.6,4300
1,2017,4537, Kyle,Rudolph,TE,min,h,nor,11.6,4700
1,2017,4437, Jared,Cook,TE,oak,a,ten,10.6,3300
1,2017,4642, Demetrius,Harris,TE,kan,a,nwe,9.5,2500
1,2017,4582, Travis,Kelce,TE,kan,a,nwe,9.4,5600
1,2017,4573, Jordan,Reed,TE,was,h,phi,8.6,5900
1,2017,4640, C.J.,Fiedorowicz,TE,hou,h,jac,8.6,3100
1,2017,4701, Evan,Engram,TE,nyg,a,dal,8.4,2900
1,2017,4690, Seth,DeValve,TE,cle,h,pit,8.2,2500
1,2017,4461, Zach,Miller,TE,chi,h,atl,7.9,2800
1,2017,4703, George,Kittle,TE,sfo,h,car,7.7,2500
1,2017,4407, Martellus,Bennett,TE,gnb,h,sea,7.3,4100
1,2017,4692, A.J.,Derby,TE,den,h,lac,6.4,2600
1,2017,4670, Will,Tye,TE,nyj,a,buf,6.4,2600
1,2017,4594, Jack,Doyle,TE,ind,a,lar,6.1,3700
1,2017,4542, Virgil,Green,TE,den,h,lac,5.4,2700
1,2017,4494, Rob,Gronkowski,TE,nwe,h,kan,5.3,6800
1,2017,4576, Dion,Sims,TE,chi,h,atl,5.1,2500
1,2017,4705, Gerald,Everett,TE,lar,h,ind,4.9,2500
1,2017,4704, Eric,Tomlinson,TE,nyj,a,buf,4.5,2500
1,2017,4493, Jermaine,Gresham,TE,ari,a,det,4.5,2700
1,2017,4702, David,Njoku,TE,cle,h,pit,4,2700
1,2017,4492, Jimmy,Graham,TE,sea,a,gnb,3.8,5100
1,2017,4368, Greg,Olsen,TE,car,a,sfo,3.8,6200
1,2017,4538, Lance,Kendricks,TE,gnb,h,sea,3.8,2500
1,2017,4680, Tyler,Higbee,TE,lar,h,ind,3.7,2600
1,2017,4270, Antonio,Gates,TE,lac,a,den,3.7,3000
1,2017,4679, Stephen,Anderson,TE,hou,h,jac,3.4,2500
1,2017,4661, Nick,O'Leary,TE,buf,h,nyj,3.2,2500
1,2017,4676, Jeff,Heuerman,TE,den,h,lac,3,2500
1,2017,4601, Eric,Ebron,TE,det,h,ari,2.9,3600
1,2017,4664, James,O'Shaughnessy,TE,jac,a,hou,2.8,2500
1,2017,4660, Nick,Boyle,TE,bal,a,cin,2.4,2500
1,2017,4599, Derek,Carrier,TE,lar,h,ind,2.2,2500
1,2017,4363, Brent,Celek,TE,phi,a,was,2.1,2500
1,2017,4688, Nick,Vannett,TE,sea,a,gnb,2,2500
1,2017,4554, Rhett,Ellison,TE,nyg,a,dal,1.9,2500
1,2017,4652, Tyler,Kroft,TE,cin,h,bal,1.5,2500
1,2017,4650, Maxx,Williams,TE,bal,a,cin,1.5,2600
1,2017,4568, Tyler,Eifert,TE,cin,h,bal,1.4,4600
1,2017,4564, Garrett,Celek,TE,sfo,h,car,0,2600
1,2017,4391, Clark,Harris,TE,cin,h,bal,0,2500
1,2017,4618, Trey,Burton,TE,phi,a,was,0,2500
1,2017,4629, Richard,Rodgers,TE,gnb,h,sea,0,2700
1,2017,4662, Ifeanyi,Momah,TE,ari,a,det,0,2500
1,2017,4697, Chris,Manhertz,TE,car,a,sfo,0,2500
1,2017,4609, Darren,Fells,TE,det,h,ari,0,2500
1,2017,4651, Clive,Walford,TE,oak,a,ten,0,2500
1,2017,4605, Troy,Niklas,TE,ari,a,det,0,2500
1,2017,1463, Logan,Thomas,TE,buf,h,nyj,0,2500
1,2017,4324, Marcedes,Lewis,TE,jac,a,hou,0,2500
1,2017,4681, Ross,Travis,TE,kan,a,nwe,0,2500
1,2017,4706, Jonnu,Smith,TE,ten,h,oak,0,2500
1,2017,4323, Vernon,Davis,TE,was,h,phi,0,3000
1,2017,4637, Phillip,Supernaw,TE,ten,h,oak,0,2500
1,2017,4675, Hunter,Henry,TE,lac,a,den,0,3400
1,2017,4668, Geoff,Swaim,TE,dal,h,nyg,0,2500
1,2017,5110, Niles,Paul,TE,was,h,phi,0,2500
1,2017,4292, Ben,Watson,TE,bal,a,cin,0,2800
1,2017,4604, Xavier,Grimble,TE,pit,a,cle,0,2500
1,2017,4686, Jerell,Adams,TE,nyg,a,dal,0,2500
1,2017,4535, Lee,Smith,TE,oak,a,ten,0,2500
1,2017,4578, Luke,Willson,TE,sea,a,gnb,0,2500
1,2017,4689, Ben,Koyack,TE,jac,a,hou,0,2500
1,2017,4592, Ryan,Griffin,TE,hou,h,jac,0,2700
1,2017,4482, Ed,Dickson,TE,car,a,sfo,0,2500
1,2017,4685, Randall,Telfer,TE,cle,h,pit,0,2500
1,2017,4551, Dwayne,Allen,TE,nwe,h,kan,0,2700
1,2017,4666, Blake,Bell,TE,min,h,nor,0,2500
1,2017,2978, Ryan,Hewitt,TE,cin,h,bal,0,2500
1,2017,4577, Levine,Toilolo,TE,atl,a,chi,0,2500
1,2017,4586, Josh,Hill,TE,nor,a,min,0,2500
