Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
SF,Daniel Hamilton,3000,OKC@POR 11/05/2017 09:00PM ET,0,OKC,,
PG/SG,PJ Dozier,3000,OKC@POR 11/05/2017 09:00PM ET,0,OKC,,
SG/SF,Kyle Singler,3000,OKC@POR 11/05/2017 09:00PM ET,0,OKC,,
PF/C,Patrick Patterson,3000,OKC@POR 11/05/2017 09:00PM ET,7.188,OKC,,
PF/C,Nick Collison,3000,OKC@POR 11/05/2017 09:00PM ET,1.5,OKC,,
SF/PF,Josh Huestis,3000,OKC@POR 11/05/2017 09:00PM ET,6.821,OKC,,
C,Dakari Johnson,3000,OKC@POR 11/05/2017 09:00PM ET,7.583,OKC,,
SG/SF,Alex Abrines,3000,OKC@POR 11/05/2017 09:00PM ET,9.469,OKC,,
SF/PF,Aaron Gordon,7100,BOS@ORL 11/05/2017 06:00PM ET,37.536,ORL,1,
C,Nikola Vucevic,7000,BOS@ORL 11/05/2017 06:00PM ET,36.222,ORL,1,
SG/SF,Evan Fournier,6900,BOS@ORL 11/05/2017 06:00PM ET,36.75,ORL,1,
PG,Elfrid Payton,6500,BOS@ORL 11/05/2017 06:00PM ET,24.5,ORL,1,1
SG/SF,Jonathon Simmons,4800,BOS@ORL 11/05/2017 06:00PM ET,23.444,ORL,,
PG/SG,D.J. Augustin,4700,BOS@ORL 11/05/2017 06:00PM ET,21.188,ORL,,1
PG,Shelvin Mack,4300,BOS@ORL 11/05/2017 06:00PM ET,16.406,ORL,,
SG/SF,Terrence Ross,3900,BOS@ORL 11/05/2017 06:00PM ET,19.389,ORL,1,
SF/PF,Jonathan Isaac,3500,BOS@ORL 11/05/2017 06:00PM ET,15.594,ORL,,
PF/C,Bismack Biyombo,3400,BOS@ORL 11/05/2017 06:00PM ET,10.583,ORL,,
PG/SF,Mario Hezonja,3000,BOS@ORL 11/05/2017 06:00PM ET,8.844,ORL,,
SG/SF,Wes Iwundu,3000,BOS@ORL 11/05/2017 06:00PM ET,5.083,ORL,,
PF,Khem Birch,3000,BOS@ORL 11/05/2017 06:00PM ET,3,ORL,,
PF/C,Marreese Speights,3000,BOS@ORL 11/05/2017 06:00PM ET,12.208,ORL,,
SG/SF,Arron Afflalo,3000,BOS@ORL 11/05/2017 06:00PM ET,2.875,ORL,,
SG/SF,Jamel Artis,3000,BOS@ORL 11/05/2017 06:00PM ET,0,ORL,,
PF,Adreian Payne,3000,BOS@ORL 11/05/2017 06:00PM ET,0,ORL,,2
SG/SF,Devin Booker,7800,PHO@SA 11/05/2017 07:00PM ET,38.139,PHO,1,
PG/SG,Eric Bledsoe,6500,PHO@SA 11/05/2017 07:00PM ET,26.083,PHO,,2
SF/PF,T.J. Warren,5800,PHO@SA 11/05/2017 07:00PM ET,28.583,PHO,1,1
PG,Mike James,5000,PHO@SA 11/05/2017 07:00PM ET,24.056,PHO,1,
PF/C,Alex Len,4600,PHO@SA 11/05/2017 07:00PM ET,22,PHO,,
